

---------------------------------------RPS  resnet  ALEATORIO  10%----------------------------------------------

Start time: 2025-05-22 15:55:36.091987 UTC
Evaluación 1 -> 2025-05-22 15:56:43.626899 UTC
Evaluación 2 -> 2025-05-22 15:57:41.081646 UTC
Evaluación 3 -> 2025-05-22 15:58:35.359466 UTC
Evaluación 4 -> 2025-05-22 15:59:30.496744 UTC
Evaluación 5 -> 2025-05-22 16:00:26.637173 UTC
Evaluación 6 -> 2025-05-22 16:01:26.073657 UTC
Evaluación 7 -> 2025-05-22 16:02:25.542009 UTC
Evaluación 8 -> 2025-05-22 16:03:16.538282 UTC
Evaluación 9 -> 2025-05-22 16:04:10.373556 UTC
Evaluación 10 -> 2025-05-22 16:05:02.417109 UTC
Evaluación 11 -> 2025-05-22 16:05:51.711813 UTC
Evaluación 12 -> 2025-05-22 16:06:42.253639 UTC
Evaluación 13 -> 2025-05-22 16:07:36.149767 UTC
Evaluación 14 -> 2025-05-22 16:08:25.329269 UTC
Evaluación 15 -> 2025-05-22 16:09:14.416424 UTC
Evaluación 16 -> 2025-05-22 16:10:04.419075 UTC
Evaluación 17 -> 2025-05-22 16:10:51.193375 UTC
Evaluación 18 -> 2025-05-22 16:11:45.112191 UTC
Evaluación 19 -> 2025-05-22 16:12:38.763253 UTC
Evaluación 20 -> 2025-05-22 16:13:35.119147 UTC
Evaluación 21 -> 2025-05-22 16:14:26.257312 UTC
Evaluación 22 -> 2025-05-22 16:15:14.232533 UTC
Evaluación 23 -> 2025-05-22 16:16:03.475025 UTC
Evaluación 24 -> 2025-05-22 16:16:52.962991 UTC
Evaluación 25 -> 2025-05-22 16:17:42.619175 UTC
Evaluación 26 -> 2025-05-22 16:18:30.959823 UTC
Evaluación 27 -> 2025-05-22 16:19:20.707565 UTC
Evaluación 28 -> 2025-05-22 16:20:12.499722 UTC
Evaluación 29 -> 2025-05-22 16:21:02.952675 UTC
Evaluación 30 -> 2025-05-22 16:21:54.175856 UTC
Evaluación 31 -> 2025-05-22 16:22:42.439284 UTC
Evaluación 32 -> 2025-05-22 16:23:33.530326 UTC
Evaluación 33 -> 2025-05-22 16:24:26.103805 UTC
Evaluación 34 -> 2025-05-22 16:25:18.792895 UTC
Evaluación 35 -> 2025-05-22 16:26:15.797019 UTC
Evaluación 36 -> 2025-05-22 16:27:12.692315 UTC
